日付,場所,R,クラス,距離,レースID,馬番,馬名,騎手,スコア,印,期待値スコア,EV補正スコア,単勝オッズ,フィルタ除外,警告,HAHO_戦略対象,HAHO_馬連_買い目,HAHO_馬連_購入額,HAHO_三連複_買い目,HAHO_三連複_購入額,HALO_戦略対象,HALO_三連複_買い目,HALO_三連複_購入額,LALO_戦略対象,LALO_複勝_買い目,LALO_複勝_購入額,CQC_戦略対象,CQC_単勝_買い目,CQC_単勝_購入額,着順,単勝払戻,複勝払戻,馬連払戻,三連複払戻,三連単払戻
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,1,プリンセスダーコ,原優介,17.3,×,7.882,0.721,36.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,2,トーケンジンロック,長浜鴻緒,21.0,△,7.236,0.721,27.6,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,3,イーグルロック,石川裕紀,25.7,▲,1.091,0.843,3.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,4,ブッチギレ,横山和生,8.3,,5.791,0.721,55.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,5,ネオアカジョウ,上里直汰,1.5,,11.871,0.721,628.6,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,6,アイデアユー,戸崎圭太,55.0,◎,1.305,0.835,1.9,,,✅,6-11 / 3-6,10000,,0,,,0,✅,6,10000,✅,6,10000,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,7,ラヴィニアパーク,津村明秀,8.7,,1.232,0.838,11.3,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,8,レッツゴーファイト,小林脩斗,6.3,,38.765,0.721,493.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,9,イサチルシーキング,石橋脩,11.8,,1.786,0.78,12.1,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,10,クアッドフォルツァ,佐藤翔馬,11.8,,9.803,0.721,66.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,11,ラッキースウィッチ,荻野極,31.0,◯,3.061,0.741,7.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,12,ジュンノシャップ,遠藤汰月,9.7,,49.614,0.721,407.7,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,13,ロジシーザ,岩田康誠,11.8,,6.776,0.721,45.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,14,ヴァルク,菊沢一樹,11.2,,33.746,0.721,240.6,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,2,未勝利,ダート1800m,2026032206020802,15,シュタットパーク,木幡巧也,5.2,,4.698,0.721,71.8,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,1,タイセイエキサイト,長浜鴻緒,9.1,,47.767,0.721,419.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,2,タカスタカスタカス,三浦皇成,32.3,◯,2.062,0.778,5.1,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,3,ヒナノムサシ,柴田善臣,5.6,,16.829,0.721,240.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,4,ジェイエルキャリア,吉田豊,6.8,,4.496,0.721,53.1,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,5,ビップムーラン,戸崎圭太,25.6,△,21.075,0.721,65.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,6,シエルライズ,菊沢一樹,12.4,,37.296,0.721,239.7,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,7,フュルスティン,上里直汰,25.6,×,14.925,0.721,46.6,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,8,ライヴレッドアイ,木幡巧也,39.5,◎,1.977,0.779,4.0,,,,,0,,0,,,0,,,0,,,0,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,9,モーゲンセン,ルメール,9.9,,0.533,0.849,4.3,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,10,ファンシーズ,横山琉人,7.8,,5.332,0.721,55.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,11,エアサロメ,津村明秀,10.4,,1.951,0.779,15.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,12,エコロレーヴ,荻野極,10.8,,0.391,0.91,2.9,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,13,クイーンレグナント,横山和生,17.4,,4.215,0.721,19.4,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,3,1勝,ダート1200m,2026032206020803,14,ルクスポップスター,石川裕紀,27.0,▲,11.557,0.721,34.3,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,1,シヴィータス,横山和生,30.0,△,4.205,0.721,11.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,2,ジョブックボー,長浜鴻緒,5.6,,8.316,0.721,118.7,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,3,ナックキャンドル,谷原柚希,4.2,,12.489,0.721,238.9,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,4,カナルサンマルタン,ルメール,38.2,◯,0.574,0.831,1.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,5,スペシャルシラー,荻野極,1.0,,1.296,0.835,102.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,6,クールチェンジ,武藤雅,18.7,,15.368,0.721,65.6,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,7,ソアサージュ,吉田豊,4.2,,13.764,0.721,263.3,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,8,フォワードシャッセ,石川裕紀,3.1,,0.719,0.807,18.3,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,9,マイネルトレマーズ,津村明秀,42.7,◎,6.676,0.721,12.5,EV=6.68>=3.0上限除外(valid=59%),,,,0,,0,,,0,,,0,,,0,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,10,カーヴドヴァン,菊沢一樹,3.1,,8.024,0.721,204.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,11,アラムベイ,三浦皇成,30.6,▲,9.895,0.721,25.9,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,12,ニシノカルラ,横山琉人,3.1,,9.776,0.721,248.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,13,アクアマーズ,戸崎圭太,21.6,,2.026,0.778,7.5,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,14,セイウンラピス,松岡正海,5.6,,9.192,0.721,131.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,15,ベルバード,岩田康誠,1.0,,1.271,0.836,100.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,5,未勝利,芝1600m,2026032206020805,16,リーデレクオーレ,柴田大知,27.0,×,36.659,0.721,108.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,1,キリスパークル,木幡巧也,3.1,,13.179,0.721,335.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,2,シーギリヤロック,ルメール,17.4,,0.521,0.854,2.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,3,フューチャプライム,荻野極,13.8,,3.183,0.735,18.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,4,ニュークリアス,戸崎圭太,8.0,,1.197,0.839,11.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,5,フックセンチョウ,野中悠太,1.0,,6.594,0.721,518.9,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,6,プレイザリード,三浦皇成,47.1,◎,2.533,0.764,4.3,,,✅,6-10 / 6-7,10000,,0,,,0,✅,6,10000,✅,6,10000,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,7,タッカーヴァンバン,吉田豊,27.5,▲,11.358,0.721,33.1,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,8,ヒコボシ,江田照男,3.1,,17.222,0.721,438.3,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,9,ミナヅキ,石橋脩,27.0,△,9.097,0.721,27.0,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,10,ホープフルワールド,原優介,30.0,◯,2.553,0.763,6.8,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,11,コスモアンタレス,柴田大知,27.0,×,14.758,0.721,43.8,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,12,レスター,菊沢一樹,4.2,,4.25,0.721,81.3,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,13,カムバックトゥミー,遠藤汰月,5.6,,35.872,0.721,514.1,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,14,ジャケットポケット,石川裕紀,20.1,,1.56,0.805,6.2,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,15,ハートチャン,上里直汰,4.2,,24.685,0.721,472.2,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,16,サフール,小林脩斗,1.0,,2.973,0.745,234.0,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,17,イベリスアマラ,武藤雅,1.0,,3.22,0.734,253.4,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,6,未勝利,芝2000m,2026032206020806,18,エラルディーク,津村明秀,3.1,,0.923,0.833,23.5,,,✅,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,1,ヘルメスギャング,長浜鴻緒,17.4,×,15.095,0.721,69.6,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,2,ラディアントスター,戸崎圭太,54.0,◎,1.554,0.806,2.3,,,,,0,,0,,,0,,,0,,,0,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,3,グランアルト,横山琉人,32.5,◯,7.079,0.721,17.4,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,4,プラウディッツ,ルメール,14.5,,0.291,0.95,1.6,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,5,フクスケ,木幡育也,5.7,,17.603,0.721,246.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,6,マイネルマスター,津村明秀,24.8,△,4.934,0.721,15.9,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,7,ノーウェアマン,木幡巧也,8.3,,2.662,0.759,25.7,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,7,1勝,芝2000m,2026032206020807,8,コスモエルヴァル,石川裕紀,25.7,▲,11.485,0.721,35.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,1,キャストロペペ,野中悠太,3.1,,1.273,0.836,32.4,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,2,カルネヴァーレ,石田拓郎,26.6,×,7.361,0.721,22.1,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,3,テルケンユミクイン,吉田豊,10.8,,4.179,0.721,31.0,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,4,エデルクローネ,戸崎圭太,34.3,◯,2.186,0.777,5.1,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,5,ボナーテソーロ,木幡巧也,12.6,,20.839,0.721,132.7,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,6,ウーバーストロング,木幡育也,3.1,,18.763,0.721,477.5,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,7,ウインイメル,松岡正海,4.2,,3.55,0.721,67.9,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,8,オウケンシルヴァー,岩田康誠,39.5,◎,2.125,0.778,4.3,,,,,0,,0,,,0,,,0,,,0,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,9,ジャクソン,菊沢一樹,10.4,,4.578,0.721,35.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,10,ハクシンブライアン,大野拓弥,27.0,△,2.291,0.775,6.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,11,ボルトテソーロ,原優介,3.1,,0.554,0.84,14.1,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,12,コルヴィル,黛弘人,17.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,13,グランドフォレスト,長浜鴻緒,5.6,,17.852,0.721,254.8,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,14,グラスビジョン,柴田善臣,1.0,,2.648,0.759,208.4,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,15,ミツカネヴィーナス,遠藤汰月,3.1,,5.705,0.721,145.2,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,8,1勝,ダート1800m,2026032206020808,16,ドゥマーヴェリック,ルメール,34.3,▲,0.986,0.837,2.3,,,,,,,,,,,,,,,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,1,ウォルラス,江田照男,3.1,,13.065,0.721,332.5,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,2,マサノユニコーン,横山琉人,39.5,◎,1.729,0.783,3.5,,,,,0,,0,,,0,✅,2,10000,✅,2,10000,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,3,デビッドテソーロ,柴田大知,8.0,,21.966,0.721,218.4,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,4,アオカミ,原田和真,3.1,,12.205,0.721,310.6,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,5,レッドレナート,横山和生,21.6,,3.188,0.735,11.8,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,6,イマージョン,三浦皇成,27.0,△,2.19,0.777,6.5,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,7,レイユール,長浜鴻緒,7.8,,2.171,0.777,22.4,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,8,アパッシメント,大野拓弥,3.1,,0.825,0.822,21.0,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,9,スミレファースト,木幡巧也,3.1,,2.908,0.748,74.0,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,10,ライトニングゼウス,菊沢一樹,25.6,×,2.306,0.774,7.2,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,11,キボウノホシ,藤懸貴志,8.5,,4.021,0.721,37.7,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,12,テセラリアン,津村明秀,35.3,▲,5.118,0.721,11.6,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,13,カネショウレジェン,ルメール,39.5,◯,1.433,0.822,2.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,14,リリージェーン,原優介,5.6,,6.018,0.721,85.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,15,タリエシン,野中悠太,3.1,,12.884,0.721,327.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,9,2勝,ダート1200m,2026032206020809,16,シュヴァルツリーベ,伊藤工真,5.6,,3.846,0.721,54.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,1,アマイ,原優介,30.0,△,7.471,0.721,19.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,2,エラン,荻野極,35.3,▲,5.25,0.721,11.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,3,レディベル,石川裕紀,8.5,,16.98,0.721,159.2,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,4,ジュタ,岩田康誠,20.1,,0.906,0.832,3.6,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,5,フィーリウス,津村明秀,47.2,◎,2.477,0.767,4.2,,,,,0,,0,,,0,✅,5,10000,✅,5,10000,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,6,モズロックンロール,横山琉人,30.0,×,9.535,0.721,25.4,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,7,ドゥカート,菊沢一樹,42.7,◯,6.356,0.721,11.9,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,8,エストゥペンダ,戸崎圭太,18.7,,0.515,0.857,2.2,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,10,3勝,芝1800m,2026032206020810,9,マイネルトルファン,柴田大知,8.0,,4.164,0.721,41.4,,,,,,,,,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,1,ジャスパーゴールド,松岡正海,4.2,,4.904,0.721,93.8,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,2,テイエムトッキュウ,石橋脩,3.1,,2.169,0.777,55.2,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,3,アガシ,三浦皇成,34.3,▲,8.614,0.721,20.1,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,4,ユキマル,木幡巧也,12.4,,2.443,0.768,15.7,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,5,ロードフロンティア,原優介,5.6,,2.214,0.777,31.6,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,6,ルディック,津村明秀,17.4,,2.672,0.758,12.3,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,7,エートラックス,ルメール,30.6,,2.674,0.758,7.0,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,8,シークレットヴァウ,武藤雅,5.6,,5.857,0.721,83.6,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,9,ブレーザー,荻野極,34.2,×,3.974,0.721,9.3,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,10,ドラゴンウェルズ,戸崎圭太,34.3,△,1.714,0.785,4.0,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,11,ムーヴ,横山琉人,1.0,,0.374,0.918,29.4,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,12,メイショウホウレン,菊沢一樹,13.8,,2.335,0.773,13.5,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,13,エコロガイア,高倉稜,35.3,◯,7.456,0.721,16.9,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,14,エコロアゼル,岩田康誠,39.5,◎,1.828,0.78,3.7,,,✅,13-14 / 3-14,3800,3-13-14,6000,✅,3-13-14,10000,✅,14,10000,✅,14,10000,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,15,ショウナンアビアス,柴田善臣,9.9,,2.826,0.751,22.8,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,11,ｵｰﾌﾟﾝ,ダート1200m,2026032206020811,16,ケイアイドリー,藤懸貴志,1.0,,1.46,0.818,114.9,,,✅,,,,,✅,,,✅,,,✅,,,,,,,,
2026.3.22,中山,12,2勝,ダート1800m,2026032206020812,1,エーリアル,武藤雅,17.4,,11.992,0.721,55.2,,,,,,,,,,,,,,,,,,,,,,
